area,things,location,size,ciy_part,non_city_part,non_city_sub,date,items,tranf,height,tpye,usage,material,compele_year,tranf_area,house,hall,toilet,part_house,org,total_price,price_per_m,car_tpye,car_area,car_price
中西區,房地(土地+建物),臺南市中西區西門路一段451~480號,11.78,商,,,10203,土地5建物1車位0,二層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0700605,63.41,2,2,1,有,無,2000000,31541,,0.0,0
中西區,房地(土地+建物),臺南市中西區西門路二段372巷1~30號,147.83,商,,,10303,土地2建物1車位0,全,004,透天厝,商業用,鋼造,0430101,313.22,9,3,4,有,無,12500000,39908,,0.0,0
永康區,房地(土地+建物),臺南市永康區中華路58巷61~90號,49.76,住,,,10304,土地1建物1車位0,二層,014,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960326,111.95,3,1,2,有,無,600000,5360,,0.0,0
安南區,房地(土地+建物),臺南市安南區臺南市安南區育安一街121~150號,28.19,住,,,10304,土地1建物1車位0,五層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021015,105.79,2,2,1,有,無,4430000,41875,,0.0,0
南區,土地,新都段241~270地號,3.29,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,73000,22188,,0.0,0
東區,房地(土地+建物),臺南市東區林森路一段121~150號,1.98,商,,,10304,土地2建物1車位0,十一層,022,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0800111,30.71,1,1,1,有,無,980000,31911,,0.0,0
鹽水區,房地(土地+建物),臺南市鹽水區土庫61~90號,9.19,,鄉村區,乙種建築用地,10304,土地1建物1車位0,一層,004,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820401,17.51,1,0,1,有,無,300000,17133,,0.0,0
柳營區,房地(土地+建物),臺南市柳營區小?腿61~90號,111.09,,鄉村區,乙種建築用地,10304,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0740926,117.22,5,2,3,有,無,2500000,21327,,0.0,0
後壁區,土地,白沙屯段2791~2820地號,1420.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,781000,550,,0.0,0
柳營區,土地,果毅後段1531~1560地號,1173.0,,風景區,國土保安用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,246330,210,,0.0,0
柳營區,土地,果毅後段1531~1560地號,2463.0,,風景區,國土保安用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,517230,210,,0.0,0
新營區,房地(土地+建物),臺南市新營區王公里23鄰東興三街22巷1~30號,27.77,住,,,10303,土地1建物1車位0,十二層,013,住宅大樓(11層含以上有電梯),國民住宅,鋼筋混凝土造,0890317,141.07999999999998,3,1,2,有,無,2850000,20201,,0.0,0
北門區,土地,渡子頭段451~480地號,33504.73,,一般農業區,養殖用地,10303,土地20建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,358,,0.0,0
將軍區,土地,角帶圍段451~480地號,1745.0,,特定農業區,農牧用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1645000,943,,0.0,0
新市區,房地(土地+建物),臺南市新巿區社內里社內61~90號,194.0,,特定農業區,甲種建築用地,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0850718,361.33,7,1,6,有,無,5000000,13838,,0.0,0
善化區,房地(土地+建物),臺南市善化區溪尾31~60號,145.0,,鄉村區,乙種建築用地,10303,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0850725,187.21,6,2,3,有,無,6000000,32050,,0.0,0
新化區,土地,新化段王公廟小段1201~1230地號,484.67,農,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,3095,,0.0,0
新化區,土地,新音段361~390地號,121.67,住,,,10305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,20547,,0.0,0
七股區,土地,後港段751~780地號,1590.5,,一般農業區,養殖用地,10304,土地10建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,314,,0.0,0
西港區,土地,�T營段1141~1170地號,119.36,,鄉村區,乙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,700000,5865,,0.0,0
西港區,房地(土地+建物),臺南市西港區堀子頭61~90號,93.01,住,,,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020425,197.55,4,2,3,有,無,6150000,31131,,0.0,0
關廟區,土地,下湖段241~270地號,568.67,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,796138,1400,,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區中華一路203巷1~30號,9.22,住,,,10303,土地1建物1車位1,三層,011,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0871026,101.32,3,2,2,有,有,3200000,31583,坡道機械,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區大橋五街1~30號,21.01,住,,,10303,土地1建物1車位1,七層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830107,138.09,3,2,1,有,有,3580000,25925,坡道平面,0.0,0
永康區,房地(土地+建物),臺南市永康區中華一路39巷1~30號,67.15,住,,,10303,土地2建物1車位0,全,002,透天厝,住商用,加強磚造,0640808,70.28,3,2,2,有,無,3500000,49801,,0.0,0
永康區,房地(土地+建物),臺南市永康區中華路781~810號,132.0,住,,,10303,土地1建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0780105,389.41,8,2,5,有,無,25000000,64200,,0.0,0
仁德區,房地(土地+建物),臺南市仁德區仁中二街91~120號,79.35,住,,,10303,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,0990810,181.45,4,2,3,有,無,8800000,48498,,0.0,0
歸仁區,房地(土地+建物),臺南市歸仁區大吉二街26巷68弄1~30號,34.0,住,,,10302,土地3建物1車位0,全,002,透天厝,住家用,加強磚造,0690419,44.8,2,1,2,有,無,608800,13589,,0.0,0
仁德區,土地,文賢段31~60地號,5.43,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,90000,16575,,0.0,0
仁德區,土地,太子段31~60地號,16.67,住,,,10302,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,8998,,0.0,0
東區,房地(土地+建物),臺南市東區裕農路16巷1~30號,71.56,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0650103,90.3,3,2,2,有,無,2000000,22148,,0.0,0
永康區,土地,富強段871~900地號,12.19,住,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,442500,36300,,0.0,0
永康區,房地(土地+建物),臺南市永康區永二街229巷1~30號,66.58,住,,,10304,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0700808,162.07,4,1,2,有,無,4600000,28383,,0.0,0
永康區,房地(土地+建物),臺南市永康區國華街36巷1~30號,84.08,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0750523,106.84,4,2,3,有,無,4700000,43991,,0.0,0
永康區,房地(土地+建物),臺南市永康區龍埔街541~570號,20.59,住,,,10303,土地1建物1車位0,二層,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840812,117.68,3,2,2,有,有,4200000,35690,,0.0,0
歸仁區,土地,�源猺磹q1051~1080地號,4856.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,27250000,5612,,0.0,0
新市區,土地,港子墘段601~630地號,4025.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8927600,2218,,0.0,0
佳里區,土地,北文段241~270地號,47.4,其他,,,10303,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,474000,10000,,0.0,0
白河區,土地,大排竹段2041~2070地號,1268.5,,特定農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,500000,394,,0.0,0
新營區,房地(土地+建物),臺南市新營區新南里1鄰民治路181~210號,113.0,住,,,10304,土地1建物1車位0,全,004,透天厝,住家用,鋼筋混凝土造,1020628,232.63,7,2,8,有,無,18680000,80299,,0.0,0
白河區,土地,六重溪段271~300地號,58.2,,山坡地保育區,丙種建築用地,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,104760,1800,,0.0,0
新營區,土地,下角帶圍段31~60地號,117.8,,鄉村區,乙種建築用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,3396,,0.0,0
南區,土地,南豐段151~180地號,2250.69,農,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,10893339,4840,,0.0,0
東區,建物,臺南市東區東成街185巷91~120號,0.0,,,,10304,土地0建物1車位1,九層,010,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0831024,108.94,3,2,2,有,有,1500000,13769,坡道平面,0.0,500000
南區,土地,日新段511~540地號,0.9,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,55872,0,,0.0,0
東區,房地(土地+建物),臺南市東區大同路二段61巷136弄1~30號,36.04,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,加強磚造,0600318,60.9,3,2,2,有,無,4000000,65681,,0.0,0
安南區,土地,和成段541~570地號,43.74,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,661567,15125,,0.0,0
安南區,房地(土地+建物),臺南市安南區安興街632巷31~60號,81.75,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0820802,104.92,5,2,3,有,無,2900000,27640,,0.0,0
安南區,房地(土地+建物),臺南市安南區臺南市安南區育安一街121~150號,26.65,住,,,10304,土地1建物1車位0,四層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021015,99.92,2,2,1,有,無,4900000,49039,,0.0,0
安南區,房地(土地+建物),臺南市安南區臺南市安南區育安一街121~150號,54.28,住,,,10304,土地1建物1車位0,三層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021015,171.78,2,2,1,有,無,4400000,25614,,0.0,0
安南區,房地(土地+建物),臺南市安南區臺南市安南區育安一街121~150號,27.67,住,,,10304,土地1建物1車位0,四層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021015,104.09,2,2,1,有,無,4300000,41310,,0.0,0
安南區,房地(土地+建物),臺南市安南區臺南市安南區育安一街121~150號,26.65,住,,,10304,土地1建物1車位0,三層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021015,84.05,2,2,1,有,無,4450000,52945,,0.0,0
安南區,房地(土地+建物),臺南市安南區臺南市安南區育安一街121~150號,26.65,住,,,10304,土地1建物1車位0,五層,005,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1021015,84.05,2,2,1,有,無,4000000,47591,,0.0,0
